word,part_of_speech,definition
buro’,Verb,"mamuro, paburu, makapamuro ‘to salt to"
-buru’l,D./Stative,makaburul ‘lie in state’.
burungburung,Noun,head of penis. cf. kulupáriq
busa’,V./D./Stative,popped. busang mais ‘popcorn’.
busal,Verb,"insert between two things. busalan, pabusalan, pabusal, ibusal."
busal,Noun,busal ning mais ‘corncob’.
busa’l,Verb,busalan ‘hit someone with raised knuckle’.
busbu’s,Noun,hole. busbus ipan ‘cavity’; busbus arung ‘nostril’; busbus butunis ‘button hole’.
busbu’s,Verb,"busbusan ‘bore, poke hole(s) in’; bisbusan [fig.] ‘penetrate a virgin’; mamusbus, pa:musbus, a:busbus, ibusbus."
busbu’s,Adjective/Adverb,"mabusbus, makabusbus."
busi’na,Noun,"horn (for blowing, auto horn)."
busi’na,Verb,bubusina ‘blow horn’; mamusina; makibusina; pamusi; ibusina.
buslu’q,Noun,basket.
busni’q,Adjective/Adverb/Stative,"opened, unlocked. busniq, bisniq, makabusniq."
busni’q,Verb,"ibusniq ‘open something’; pe:-musniq, a:busniq, pa:busniq, a:pabusniq; mamusniq, pakibusniq, mibusniq, makipamusnyan,"
bu’til,Noun,"kernel, grain."
butit,Noun,calf of leg.
butit,Verb,butitan ‘hit in calf’; bititan.
bu’tuq,Noun,penis. bu’tung-bulu’gan ‘plow blade’. [lit. ‘penis of boar’].
bu’tul,Noun,"see d, stone, bone. pangabutul ‘size of see d’; utak ning butul ‘bone marrow’."
bu’tul,Adjective/Adverb,mikibutul ‘having see d(s)’.
butu’nis/bitu’nis,Noun,button(s).
butu’nis/bitu’nis,Verb,butunisan ‘button something up’; mamutunis ‘one who puts on button’; makapamutunis ‘can sew on button’.
buwa’t/bua’t,Verb,"lift, carry. ibuwat, binwat, a:buat, mangabuat, magpabuat, makapamwat, makibwat, mibwat, pa:muat, mamuat."
buwa’t/bua’t,Adjective/Adverb,mebuwat.
bwak,Noun,hair. bwakbwakan/bwakbwakin ‘hair on arms or forehead’.
bwak,Adjective/Adverb,mabuak ‘have hair on (as after a haircut)’.
bwi’sit/bu(w)i’-sit/bu’sit,Noun,"pest, disturbance, bore, nuisance."
bwi’sit/bu(w)i’-sit/bu’sit,Verb,bwisitan ‘bother someone’; binuwisit; magbwisit/magbusit; mamusit; mapamusit.
bya’kus (biakus/biyakus),Noun,"a fishing net, pocket-shape, used by one man in a current. biyaku’san/bayakusan ‘banca used in such fishing’."
bya’kus (biakus/biyakus),Verb,mamayakus.
bya’(h)e,Noun,"journey, trip."
bya’(h)e,Verb,"magbyahe ‘take a trip, go around on display (for sale) ’."
bya’sa/bya’sa/biya’sa,Verb/Stative,know how.
bya’sa/bya’sa/biya’sa,Adjective/Adverb,mabiyasa ‘knowledgeable’; mabibiyasa ‘is
bye/byay,Noun,"life. pamibyebye ‘ways of life’; byeran-dela ‘life-testimonial’; kabyayan ‘occupation, making a living’; pangabyayan, pengabyayan ‘source of life’; byayan ‘hatchery’."
bye/byay,Adjective/Adverb,"mabye ‘alive, living’."
bye/byay,Verb,"mye ‘live, be alive’."
-bye’/bie’,Verb,give; see ibye.
bye’rnis,Noun,Friday. byernisa’nto ‘Good Friday’; lu’pangbyernisa’nto ‘sad-faced’.
byuk,Noun,scar.
byuk,Adjective/Adverb,mabyuk ‘scarred’; mikabyuk.
byuk,Verb,byukan ‘give a scar to someone’;
byu’da,Noun,widow; see ba’lu.
byung,Noun,roaring sound.
byung,Verb,"biyung, binyung; mamyung, memyung."
(-) ka,,"1. personal pronoun, ‘you’ (Sg.); ing-case, non-emphasized."
ka-,,"2. prefix with descriptive bases produces emphatic descriptives. 3. prefix with verb and noun bases produces nouns; ka- + noun produces a noun meaning one of a type, partner in… 4. prefix with cardinal numbers produces ordinal numbers."
ka’baq,Noun,length.
ka’baq,Verb,"kakabaq, kakaban ‘lengthen something’; magpakabaq ‘stretch self’; pakikabaq; ikabaq; a:kabaq; pakabaq; pakaban; mipakabaq."
ka’baq,Adjective/Adverb,makabaq; makabakabaq.
-kaba’q,Noun,tu’lung-kaba’q ‘triangle’.
kaba’g,Noun,a kind of bat (mammal).
kaba’g,Adjective/Adverb,ma’kaba’g ‘bat-infested’.
kabaldu’gan,Noun,"meaning, significance; see baldug."
kabaldu’gan,Verb,mangabaldugan ‘have a meaning’.
kabamba’ngan,Noun,the barrio of Bacolor which in the town
kaba’ngal,Noun,"counterpart, one of a pair. kaba’ngal a salu’q ‘spouse’."
kabare’t,Noun,"cabaret, nightclub + dance hall."
kabare’t,Verb,mangabaret ‘go to a cabaret’;
kaba’sa,Noun,acquaintance; see ba’sa.
kaba’ung,Noun,coffin.
kaba’ung,Adjective/Adverb,makakabaung ‘in a coffin’.
kaba’ung,Verb,ikabaung ‘put someone in a coffin’;
kaba’yu,Noun,"horse. pakabayu ‘sawhorse, ironing-board’."
kaba’yu,Verb,"kabaywan ‘ride horseback on a person’; magabayu, pangabayu; pa:kabayu ‘give horseback ride’."
kabe’sa,Noun,"head (in a figurative sense), leader. kabise’ra ‘capitol’."
kabe’sa,Adjective/Adverb,makakabesa ‘sit at the head of the table’.
kabisa’du,Adjective/Adverb,"adept, skilled."
kabise’ra,Noun,capitol; see kabe’sa.
kabi’t,Verb,"put, fix, attach. mangabit, pa:kabit, pakikabit, ikabit, pa:ngabit, ka:bitan, makapangabit."
kabi’t,Noun,kabi’t ‘common-law wife’.
kabla’s,Noun,"echo; see ablas, revenge."
ka’bli,Noun,"electric wires, cable, other wire. kabligra’ma ‘cablegram’."
kabuka’san,Noun,the next day; see bukas.
kabuka’san,Verb,"kebukasan ‘kept until the next day, held (e'g.) busy overnight’."
kabu’d,Qualifier,"unexpectedly, unounced. kabudkabud; [syntactically comparable to agad]."
-kabyu’s,Verb,"kakabyus ‘by-pass, go askew’. kinabyus, a:kabyusan, mikabyus, pa:ngabyus."
ka’kaq,Noun,older brother.
kaka’k,Verb,stutter. mangakakak ‘stutter repeatedly’; me:kakak.
kaka’k,D./Stative,makakak ‘conducive to stuttering’.
kakla’k,Adjective/Adverb,"deaf. maklak, makaklak."
kakla’k,Verb,"mangaklak, a:kaklak, apakaklak."
kade’na,Noun,chain.
kade’na,Verb,"ikadena ‘chain something’; a:kadena, kakadena, kinadena."
kadwa’q,Noun,second.
ka’ju,Noun,"male nickname, from Arcadio."
kaju’,Verb,kakaju ‘have sexual intercourse’. [“a funny word”].
kagli’q,Verb,"kakagliq ‘is conceiving’ i'e. ‘is in first two months of pregcy’. kigliq, mangagliq, makikagliq, a:kaglian, keglian, pengiglian ‘crave something while conceiving’."
kagli’q,Noun,pa:mangagliq.
ka’go,Noun,"a kind of insect (flea, tic?)."
ka’go,Adjective/Adverb,makago ‘bitten by kago’.
ka’i,Noun,"[full-word filler, empty semantically]. ‘watch-a-ma-call-it, you-know-who/what-I-mean’."
ka’i,Adjective/Adverb,makai ‘like you-know-how’; makakai ‘in such-and-such a state’; potang kai ‘indefinite future’; ketang kai ‘indefinite past’.
ka’i,Verb,"mangai, kakai, kayan, kinyan, makakai ‘able to do it’, makikai, pakikai, pa:kai,"
kaqiba’t,Qualifier/Noun,afterwards; see ibat.
kaqi’kut,Noun,"tailbone, end of the spine."
kaqili’,Noun,left (direction).
kaqingi’n,Noun,slash-and-burn field (swidden).
kaqingi’n,Verb,magkaqingin. kaladu(w)a’
kaqingi’n,Noun,soul.
kaqingi’n,Verb,mangaladuwa.
kala’hi,Noun,species.
kalaldo’,Noun,the hot season.
kalaldo’,Verb,makipagkalaldo ‘spend the summer’.
kala’le,,"See alale, alalay-. magkalakalale ‘be careful’."
kalamangge’,Noun,a vegetable.
kala’me,Noun,"sweets, dessert."
kala’mna’n,Noun,"contents, table of contents; see laman."
kalampa’g,Noun,tapping noise.
kalampa’g,Adjective/Adverb,"makalampag ‘noisy, has lots of tapping’."
kalampa’g,Verb,"mangalampag, makikalampag, pa:kalampag, pangalampag."
kalamu’nding,Noun,"calamansi, a citrus fruit."
kalanga’n,Noun,"(promiscuity), state of being in heat; see"
kala’ng,Noun,"stove, place where the cooking fire is kept. kala’ng-u’ling ‘charcoal stove’; pagkalangan ‘cooking place’; pekakalang ‘stones which hold pot over the fire’."
kala’ng,Verb,"mag-tungkung-kalang ‘sit or squat with two others, in the same positions as the pot"
ka’lat,Verb,"scatter. magkalat, magkalatkalat; pangalat, makikalat; pa:kalat, ikalat; mipakalat, mikakalat, a:kalat."
ka’lat,Adjective/Adverb,makalat.
kalbag,Noun,"swelling, lump."
kalbag,Stative/Verb,"swell, be swollen. mangalbag, makikalbag, pa:kalbagan."
kalbag,Adjective/Adverb,makalbag ‘swollen’; inundated. (also used of a hose used to check levels in carpentry–water and air bubble).
kalbit,Verb,"pinch, pressure. mangalbit, pakikalbit, pa:kalbit, pangalbit, kakalbitan, a:kalbit, makapangalbit,"
kalbúro,Noun,carbide (used for lighting fishing lanterns and also as explosive in bamboo cannons).
kalde’raq,Noun,storage place and equipment in a part of sugar extracting.
kalde’ro,Noun,a large metal cooking pot.
kalenda’ryu,Noun,"calendar, schedule."
kalesa,Noun,two-wheel horse-drawn carriage.
kalesa,Verb,mangalesa ’ride a calesa.
kalesa,Adjective/Adverb,makalesa ‘many calesas in a place’.
kalgari’ta,Noun,"a meat stew, usually with dog or goat as the main ingredient (quite spicy)."
kaliku’bak,Noun,dandruff.
kalingki’ngan,Noun,little finger.
kalingwan,Verb,"forget. ke:lingwan, ma:ngalingwan, a:kalingwan. K"
kalis,Verb,"kalisan ‘cut (hair–as scraping a pig’s carcass, grass, cane)’. mangalis, pakikalis, makikalis, a:kalis, makapangalis, pa:ngalis."
kalu’q,Noun,pulley.
kalugku’g,Verb,"chug, rumble (e'g. jeep motor, hungry stomach). kakalugkug, makikalugkug, mangalugkug."
kalugku’g,Adjective/Adverb,makalugkug.
kaluguran,Noun,ka:luguran ‘friend’; kalugura’n ‘sweetheart’.
kaluguran,Verb,kalugura’n ‘love someone’; see lugu’d.
kalu’luq,Noun,a poor person.
kalu’luq,Verb,"pa:kaluluq, ke:kaluluq."
kalu’luq,Adjective/Adverb/Stative,"paka:kaluluq, pa:ngakaluluq ‘very poor’, kakaluluwan."
ka’lyu,Noun,"corn, callus."
ka’lyu,Verb,"magkalyu ‘get calluses’, maka-pangalyu."
ka’lyu,Adjective/Adverb,"makalyu, makikalyu, mangakalyu."
kamagqa:nak,Noun,"relatives, family relationship."
kamagqa:nak,Verb,makikamaganak ‘posing as relatives’; see
kama’lig,Noun,storehouse.
kama’maluq,Noun,"a deadly snake, black or maroon in color (cobra?)."
kama’ndag,Noun,venom.
kama’ndag,Adjective/Adverb,"makamandag, makikamandag ‘venomous,"
kamansi’q,Noun,a citrus fruit.
kamangya’ng,Noun,string beans.
ka’maruq,Noun,"a kind of cricket, eaten fried or cooked with tomatoes."
kamaci’li,Noun,a kind of edible plant (pepper?).
kamau’q,Noun,fist.
ka’mbal,Noun,twin.
ka’mbal,Verb,"kakambal, mikambal."
ka’mbal,Qualifier,kambal kami malan ‘we are wearing matching clothes’.
kambi’ng,Noun,goat.
kambubu’lag,Noun,a small moth which damages rice and sugar cane.
kambyu,Noun,"gears, gearshift; railraod switch."
kambyu,Verb,"mangambyu, a:kambyu, mipakambyu."
kami’,Pronoun,we (excluding person spoken to).
kampa’naq,Noun,church bells. kampana’ryu ‘bell tower’.
kampa’naq,Verb,magkampanaq ‘ring church bells’.
kampi’l,Noun,1. a kind of suman wrapper. 2. a long Moro knife.
ka’mpit,Noun,a kitchen knife.
ka’mpu,Noun,base (e'g. Clark Field). kampusa’ntu ‘cemetery’.
kamu’ti,Noun,"an edible tuber, cassava. kamuting-du’tung, kamuting-ba’gin."
-kan,Noun,"kaka ‘food’. ka, pa:mangan, pe:ngan ‘thing eaten’."
-kan,Verb,"mangan, mengan; pengan; a:pangan; pa:pakan ‘feed someone’; makipangan. K"
kana’l,Noun,"canal, ditch."
kana’l,Adjective/Adverb,mekanal ‘fell in a ditch’.
kana’l,Verb,pa:kanal ‘have a ditch dug’.
kana’tba,Noun,"the other side, across, opposite."
kanda’ba,Noun,Candaba (the name of both a town and a large swamp in Pampanga).
kandatu’q,Noun,a yellow and black spider found in trees.
kandida’tu,Noun,"political candidate, candidate for"
kandi’laq,Noun,candle.
kandung,Verb,mangandung ‘carry in lap’. kandunga’n ‘put someone in lap’.
kandung,Noun,kandu’ngan ‘lap’.
kanduru’q,Noun,a yellow and black bird.
kandut,Verb,"kakandutan ‘pinch with a twisting motion’. kandutandutan, mikandutandutan."
kani’nu/ke:nu,Pronoun,whose?.
kanita,Pronoun,king-case for of ita.
kante’ro,Noun,singer; mason.
ka’ntu,Noun,corner.
ka’ntu,Verb,magkantukantu ‘stand around on the corner’; pakantukantu.
kanu’,Particle,"reportative, i'e. it is said, they said, he said, it see med."
kanu’q,Noun,"American, Caucasian (i'e. does not include American Negroes)."
kanuwa’n,Noun,"forehead, skull."
kanya’n,Pronoun,"now, like that. makanyan."
kanya’n,Verb,"pa:kanyan, a:kanyan."
kanyu’,Noun,pig slop.
kanyu’n,Noun,cannon. [metaphor] ‘penis’.
kap,Noun,a good thing; see mayap.
kapad,Adjective/Adverb,"appropriate, fitting, suited, at ease with. kapadkapad."
kapad,Verb,maningapad.
kapa’l,Noun,thickness.
kapa’l,Adjective/Adverb,"makapal ‘thick, wide’; makapal a lupaq ‘thick-faced’."
kapa’l,Verb,pakapalan ‘make something thick’;
kapa:makan,Noun,"humility, abjectness."
kapa’muq,Qualifier,"just a moment, wait a second."
kapata’d,Noun,"sibling. mikapatad, mikakapatad; kinakapatad ‘baptismal brother’; kapataran ‘brotherhood’."
kapa’yaq/kapa’ya,Noun,"papaya, a fruit."
kape’,Noun,coffee.
kape’,Verb,magkape’ ‘drink coffee’.
kapila’n,Pronoun,when?. kapilan-man ‘never’.
ka’pis,Noun,"Capiz, a province of Panay, believed to be the home of aswang."
ka’pit,Qualifier,"by-the-head (manner of selling). porkapit, kapitkapit."
ka’pit,Qualifier,together.
ka’pit,Noun,"a type of baa, grows with the fruit bunched together."
ka’pit,Verb,"kapi’tan ‘be close to someone, especially to one in power’."
kapita’n,Noun,captain.
kapitangang-bengi,Noun,midnight; see kapitnaq.
kapitangang-bengi,Verb,mengapitangang-bengi ‘stayed up until
kapitnaq,Noun,half; see pitnaq.
ka’plin,Noun,cufflinks.
kapo’ti,Noun,raincoat or jacket.
kapo’ti,Adjective/Adverb,makakapoti ‘wearing a kapoti’.
kapo’ti,Verb,"magkapoti, papagkapotcan."
ka’pri,Noun,"a spirit, said to be tall, black, smoking foot-long cigars, and appearing at night."
kapu’tul,Noun,[metaphor] ‘sibling’. [lit.] ‘companion in being cut’; see putul.
kara’ngan,Noun,a finger measurement–the distance between thumb and middle finger.
kara’t,Verb,"‘making babies’. kakarat, kinarat, makakarat, mangakarat, makikarat, ke:rat, pakikarat, magpakarat, pa:karat, pangarat, a:karat, ka:karatan."
kara’t,Adjective/Adverb,makarat.
kara’t,Noun,pa:mangarat.
kara’yum,Noun,needle. tula’ng-kara’yum ‘a kind of dragonfly’.
ka’rbayd,Noun,carbide–a kind of lantern used for fishing.
ka’rburado’r,Noun,carburetor.
kare’n,Pronoun,"those, king-case."
karga,Noun,baggage.
karga,Verb,"carry. kargan, magpakarga, pakikarga, pa:karga, pa:ngarga, ikarga, a:karga, mipakarga."
karga,Adjective/Adverb,makarga.
kari’n,Pronoun,location ‘there (far)’.
kari’nyo,Adjective/Adverb,makarinyo ‘loving’. mapangarinyo.
kari’nyo,Verb,"mangarinyo, kerinyo, a:karinyo."
kari’nyo,Noun,"karinyo’sa ‘1. beloved, a loving girl; 2. a type of baa’."
ka’rta,Noun,letter. karte’ro ‘mailman’.
karti’lya,Noun,1. a manual to be memorized; a literacy manual. 2. wheelbarrow.
ka’rug,Verb,"kakarug ‘tremble’, kinarug, makikarug, pa:karug, a:pakarug."
ka’rug,Adjective/Adverb,makarug.
karuwa’ye,Noun,wagon.
karuwa’ye,Verb,"mangaruwaye ‘ride in a …’, makikaruwaye, pe:ngaruwayi,"
kasa’l,Noun,"marriage, wedding. talakasal, kasal-wes ‘civil ceremony’."
kasa’l,Verb,"kakasal, kinasal, ke:sal; ikasal; magpakasal; pa:kasal; pa:ngasal; a:kasal; mipakasal."
kasa’l,Adjective/Adverb,"makasal, me:kasal."
kasalusu’ngan,Qualifier,at present.
ka’sama’k,Noun,tet; see samak-
kasaman,Verb,"hate. kisaman, a:kasaman."
kasangka’pan,Noun,"tool(s), appliances."
kasapunggul,Noun,a measure–two handsful; see punggul.
kasapwe’go,Noun,"matches, matchbox."
kasa’t,Noun,tantrum.
kasa’t,Verb,"kakasat ‘throw a tantrum’. kinasat, magkasat, a:kasat, ke:sat, pa:ngasat, pangakasat."
kasa’t,Adjective/Adverb,makakasat ‘in a tantrum state’.
kaska’s,Verb,"rub, scratch, grate. kakaskas, mangaskas, ikaskas, a:kaskas, mipakaskas, pa:ngaskas."
kaska’s,Noun,kaskasan ‘thing to scratch’.
kaska’s,Adjective/Adverb,makakaskas. See kiskis.
kase’ra,Noun,boarder.
kasi’,Subordinating Conjunction/Qualifier,because.
kasi’ping-bale’,Noun,neighbor.
kasuma’ngid,Noun/Stative/Adjective/Adverb,opposite; see kanatba.
kasyu’q,Noun,male nickname from Nicasio.
kata’,Pronoun,I and thou; see ikata.
katandan,Noun,a type of baa [said to be called katoldan in Sexmoan].
kata’t,Verb,"flay (hack?). kinatat, katatan, ma:ngatat, pa:katat, pa:ngatat, a:katat."
kata’t,Adjective/Adverb,makatat.
katawan,Noun,body; flesh.
katawan,Verb,makipangatawan ‘commit adultery’. kati(h)
katawan,Noun,low water-level.
katawan,Verb,"kakatih, magpakati, pakatyan, a:pakati."
katawan,Adjective/Adverb,"me:kati, kasingkati."
katitika’l,Adjective/Adverb,makes one numb; [also] name of a club.
katmu’q,Adjective/Adverb,"filled (of a container). makatmuq, kitmuq."
katmu’q,Verb,"kumatmuq, kinatmuq, katmwan, pa:katmwan, pa:katmuq."
ka’tri,Noun,bed.
ka’tri,Verb,manga’tri ‘lie abed’.
katua’ngan,Noun,parent(s)-in-law.
katua’ngan,Verb,"mangatuangan ‘going to the father-in-law’; pa:katuanga, a:katuangan."
katuli’ran,Noun,rights; see tu’lid.
katu’n,Noun,"alphabet; see kanti’lya, ko’digo."
ka:cap,Verb,"(Eng. ‘catch up’). a:ka:cap ‘understand, grasp’."
kau’l,Verb,"embrace. kaulan, kinaul."
kau’n/kawu’n,Noun,box; one section of a fishpond.
kau’n/kawu’n,Verb,"kaun ‘box something’. ke:un, a:kaun, pa:kaun, mikaun."
kau’ng,Verb,bark of a dog. kakaung.
kau’ng,Noun,bark of a dog.
ka’wa,Noun,"vat, a large iron cauldron."
kawa’g,Noun,the smallest fingerlings in fishponds.
kawa’niq,Verb/Stative,"be separated, go separate way. maka:kawaniq [ability], mikawaniq, mika:kawaniq, mipakawaniq, makikawaniq, pakikawaniq, pa:kawaniq, ikawaniq, ke:waniq, pa:ngawaniq; makakawaniq ‘separated’."
kawa’yan/kwa’yan,Noun,bamboo.
ka’we,Verb,"swim (primarily refers to the hand stroke). kewe, kewen, ikawe, pa:kawen, pakikawe."
ka’we,Noun,pa:mangawe.
kaya’,Pronoun,"he, she; king-case."
kaya’q,Adjunct,"doubt, possibility."
ka’yag,Verb,attract.
kayaldawa’,Noun,"anniversary, birthday; see aldo’."
kaya’n,Verb,See ka’i.
kayapan,Noun,"goodness; see mayap, qapqap, kumayap."
kayapan,Verb,"kayap, kumayap ‘get well, recover’; mangayap; makakayap; pa:kayap; pa:kayapan; a:pakayap."
kayapan,Adjective/Adverb,"makayap, mikayap, makikayap."
ka’yas,Verb,"whittle. kayasan, ke:yasan, mangayas, makakayas, pa:kayas, pa:ngayas, a:kayas."
ka’yas,Adjective/Adverb,makayas ‘whittled’.
kayla’ngan/kaila’ngan,Verb,need.
kaymi’tu,Noun,star-apple (a fruit).
kayu’,Pronoun,"you (pl.), ing-case, short."
kayuma’nggiq/koma’nggiq,Adjective/Adverb,"brown, the skin-color of Filipinos."
ke,Subcomb,"marks relative. 1. clause (embedded sentnece functioning as attribute). 2. Subst. = kami. 3. Subst., portmanteau: ku + ya."
ke’ke,,[babytalk] ‘put it here’.
ken,,"1. substitute, locative ‘there’. 2. abbreviated form of keng."
ke’ndi,Noun,candy.
ke’ni,Pronoun,‘here’. me:keni ‘come here’.
ke:nu,,Alt. form of kaninu ‘whose?’.
-ke’raq,Adjective/Adverb/Stative,"makake’raq ‘resting, lying down’."
-ke’raq,Noun,"pagkeran ‘bed, resting place’."
kera’klan,Qualifier,usually.
ke’saq,Qualifier,than (in comparative construction). mas…kesaq.
ke’su,Noun,cheese.
-ket,Verb,"bite. ketan, kiketan, manget, mangaket, pakiket, a:ket, a:paket, iket, pe:nget, mipanget."
keta,Pronoun,‘there (nearby)’.
keti,Pronoun,‘there (near here)’.
kila’la,Verb/Stative,"be acquainted. kakilala, mikilala, a:kilala, makikilala ‘recognize’; pakikilala, pakikilala ‘make known, introduce’; mipangilala, makakilala, kilalan."
kila’la,Adjective/Adverb,"makilala, mekilala, makakilala."
kila’la,Noun,pa:mangilala.
ki’ldap,Noun,lightning.
ki’ldap,Verb,mangildap.
ki’ldap,Adjective/Adverb,"makildap, makikildap."
ki’le,Noun,eyebrow; axillary hair; see kilikili.
ki’le,Verb,"mangile ‘put on eyebrow/lash, makeup’. pa:kile, a:pakile."
kili’k,Verb,"kilikan ‘carry (a baby) on one’s hip’. mangilik, maka:kilik, pakikilik, a:kilik, pangikikan."
kili’k,Noun,pa:mangilik.
kili’k,Adjective/Adverb,"makilik, mekilik, makakilik."
kiliki’li,Noun,armpit; see ki’le.
ki’ling,Noun,mane (of a horse).
kiliti’q/kilikiti’q,Verb,"tickle in armpit. kilikitian, kilikitcan."
ki’lus,Noun,"gesture, movement, campaign."
ki’lus,Verb,"kikilus, kinilus, kumilus."
ki’mse,Noun,celery.
kimu’q,Adjective/Adverb/Stative,unaccustomed.
kimu’t,Noun,"[rare] puppet show, movie."
kimu’t,Verb,"kikimut ‘move around’. mangimut, pa:kimutan."
kinabu’kas,Verb/Stative,"the whole night (past), did something all night; see bu’kas."
kinis,Verb,"nip, nibble, be stung. kininis, kinisan, manginis."
kinis,Adjective/Adverb,"mekinis ‘was bitten, nipped, stung."
ki’nyud,Verb,a motion of lower trunk.
ki’nyud,Noun,"palkinyu’ran ‘buttocks, hips’."
kingki’ng,Verb,"tremble, vibrate. kikingking, kiningking, magingking, mipakingking, a:pakingking."
kira’t,Verb,"wink. mangakirat, pangakirat."
kira’t,Noun,ki’rat ‘slanted eyes’.
kiru’t,Verb,"surprise (someone). mamakirut, mipakirut ‘be surprised’,"
kisami’,Noun,ceiling. pekakisami ‘ceiling material’.
kisami’,Verb,"pa:kisami ‘have ceiling installed’, a:pakisami, makikisami."
kisami’,Adjective/Adverb,mikakisami ‘having a ceiling’.
kiski’s,Noun,friction. kiski’san ‘rice mill’; see kaskas.
-kit,Verb,"see; see ikit, akit."
kiti’g,Noun,a fine mesh fish net.
kiti’g,Verb,ma:ngitig ‘fish with a kitig’. mengitig.
ki’tung,Noun,"male nickname, Fransisco."
kiya’k/kyak,Verb,"cry. kikyak, kumiyak, pa:kyakan ‘make someone cry’, ma:ngyak, kinyak, a:pakyak, mipakyak."
klab,Noun,club.
-klak,Adjective/Adverb,"maklak ‘deaf’. maklak-buntuk ‘ignorant, dull, unintelligent’."
kla’si,Noun,"class; kind, type. kaklasi ‘classmate’."
kokko’k,Verb,"cackle, cluck kokokkok. K"
kode’rnu,Noun,notebook; see kwadernu.
ko’digo,Noun,"list to be memorized, sample ballot,"
ko’lera,Noun,cholera.
koma’nder,Noun,commander (Huk usage).
koma’nder,Verb,"magkomander ‘become, be a commander’; papagkomander."
ko’manggi’q,Adjective/Adverb/Noun,brown; see kayumanggiq.
kome’ta,Noun,comet (believed to be sign of times to come: good if the tail is above; bad if below).
konde’rlos,Noun,Conde Irlos–the name of a famous
konse’nsya,Noun,conscience.
kontado’r,Noun,electricity meter.
ko’ntra,Noun,"antidote, immunization, countermeasure. pa:mangontra, pa:ngontra."
ko’ntra,Verb,pakikontra ‘turn two screws in opposition’; makikontra ‘oppose another’; pa:kontra; pa:kontran; a:kakontra; mikontra.
ko’ntra,Adjective/Adverb/Stative,makakontra ‘in opposition’.
ko’nu,Noun,rice mill; see kiskisan. ma:ngonu ‘miller’.
ko’nu,Verb,"mangonu ‘mill (rice)’. makikonu, pa:konu, pa:ngonu, makapagkonu ‘have rice milled’."
ko’nu,Adjective/Adverb,makonu.
ko’pas,Noun,"one of the suits in the card game, monte."
ko’piya/ko’pya,Verb,"copy. kopiyan ‘copy something’, ikopya, pakikopya, pa:kopya, pa:kopyan, a:kopya, pangopya, mipangopya, makakopya."
ko’piya/ko’pya,Noun,pamangopya ‘copying process’; pekakopya ‘a duplicate’.
koro’na,Noun,flower arrangement for a death.
ko’tse/ko’tci,Noun,"car, automobile."
ko’tse/ko’tci,Verb,magkotci ‘ride in a car’; mangotci; papangotcan.
ko’tse/ko’tci,Adjective/Adverb/Stative,makakotci.
koy,Noun,"address, intimate, for ko’ya."
ko’ya,Noun,elder brother.
krisa’nta,Noun,"female name, short form: kre’sa."
kriso’tan,Noun,"a verse-form contest, named after the first major Kapampangan poet and dramatist, Juan Crisostomo Soto."
kriso’tan,Verb,"magkrisotan ‘engage in krisotan’. makikrisotan, papagkrisotan."
ku,Pronoun,short form of a’ku ‘I’.
ku’bo,Noun,"shack, small house in fields; see"
kubo’,Noun,type airplane.
kubye’rtus,Noun,"silverware, eating utensils."
kubye’rtus,Verb,mangubyertus ‘use utensils to eat’.
kuku’,Noun,toe and finger nails. pekakuku ’artificial fingernail.
kuku’,Verb,"manguku ‘cut one’s fingernails’; pa:kuku, pakikuku, pa:ngukuan, a:kuku, mipanguku."
kuku’,Adjective/Adverb,makuku.
ku’kuq,Noun/Verb,"cough. ma:ngukuq, makikukuq, mipakukuq, mangapanguku, magpakukuq. K"
kudku’ran,Noun,a small hand-tool used for scraping the soft meat from young coconuts.
kudku’ran,Verb,"kudkura’n ‘scrape (a coconut), scratch (hair, i'e. head)’."
kudjape’,Noun,writing [apparently rare].
kudra’du/kudra’ru,Noun,square. pekakudradu ‘square shape’.
kudra’du/kudra’ru,Adjective/Adverb,makudradu.
kudra’du/kudra’ru,Verb,"pa:kudradu, pangudradu, pangudradwan."
kulaka’tiq/kalakatiq,Noun,a scissors-like tool used for opening luyus.
kulaka’tiq/kalakatiq,Verb,magkulakatiq.
kula’it,Verb,"cry out, shout, yell, scream. pangulait."
ku’lam,Noun,"sorcery. magkukulam ‘sorcerer’, pangapangkukulam ‘the likeness of a sorcerer’."
ku’lam,Verb,"kulaman ‘bewitch someone’, ki:laman ‘was bewitched’, magpakulam, mangakulam, pakikulam, a:kulam, a:pangulam, makikulam, mipangulam."
ku’lam,Adjective/Adverb,"makulam, mekulam."
kulang,Qualifier,lacking.
kulang,Verb,"magkulang ‘do wrong’, makikulang, pa:kulang, a:pakulang, ke:kulang; magkulangan, mangakulangan, pakikulangan, kakulangan, pa:ngulangan, ke:kulangan, kinulangan, a:kulangan."
kulang,Adjective/Adverb,"makulang, mekulang."
kula’ngut,Noun,"nasal mucus, snot."
kula’ngut,Adjective/Adverb,makulangut ‘have a head cold’.
kula’p,Verb,remove lice.
kulapu’,Noun,mold.
kulapu’,Verb,mangulapu ‘get moldy’.
kula’s,Noun,nickname of Nicolas.
kulasisi’q,Noun,"common-law wife, constant female"
kula’ti,Verb,"curl, twist, entwine. kukulati."
kula’yu,Noun,owl.
kulku’l,Verb,"dig. kukulkul, kinulkul; kulkukan, kilkulan."
